dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,120,146,3,250,80,250,3,0.7,0.1,0.15000000000000002
VAL,136,146,3,150,120,100,3,0.7,0.1,0.05
VAL,3,146,3,300,110,150,3,0.5,0.1,0.1
VAL,89,146,3,300,120,250,3,0.7,0.1,0.1
VAL,41,146,3,500,140,200,3,0.5,0.1,0.15000000000000002
VAL,144,146,3,100,80,200,3,0.5,0.1,0.05
VAL,104,146,3,250,100,250,3,0.5,0.1,0.05
VAL,146,146,3,400,100,50,3,0.7,0.1,0.05
VAL,2,146,3,450,100,150,3,0.5,0.1,0.1
VAL,143,146,3,100,100,200,3,0.5,0.1,0.15000000000000002
VAL,105,146,3,450,100,250,3,0.7,0.1,0.1
VAL,131,146,3,150,100,100,3,0.7,0.1,0.1
VAL,116,146,3,450,130,250,3,0.7,0.1,0.1
VAL,13,146,3,500,140,100,3,0.7,0.1,0.1
VAL,10,146,3,350,130,150,3,0.7,0.1,0.15000000000000002
VAL,4,146,3,300,120,200,3,0.7,0.1,0.1
VAL,126,146,3,200,90,250,3,0.7,0.1,0.2
VAL,138,146,3,150,90,100,3,0.5,0.1,0.2
VAL,4,146,3,500,120,150,3,0.7,0.1,0.05
